2016-03-11 15:00:49.606735|INFO    |VirtualServer |1  |listening on 0.0.0.0:9987
2016-03-11 15:00:49.611616|INFO    |VirtualServer |1  |client 'server'(id:0) added privilege key for servergroup 'Server Admin'(id:6)
2016-03-11 15:00:49.612117|WARNING |VirtualServer |1  |--------------------------------------------------------
2016-03-11 15:00:49.612117|WARNING |VirtualServer |1  |ServerAdmin privilege key created, please use the line below
2016-03-11 15:00:49.612117|WARNING |VirtualServer |1  |token=ZmK+hWCZIbBkyon61rpNgGfk27AwQVcjgHyaNBrV
2016-03-11 15:00:49.612117|WARNING |VirtualServer |1  |--------------------------------------------------------
2016-03-11 15:05:05.606860|INFO    |VirtualServer |1  |client (id:2) was added to servergroup 'Server Admin'(id:6) by client 'server'(id:0)
2016-03-11 15:05:05.607862|INFO    |VirtualServer |1  |client 'Testclient 1'(id:2) used privilege key 'ZmK+hWCZIbBkyon61rpNgGfk27AwQVcjgHyaNBrV' and was added to servergroup 'Server Admin'(id:6)
2016-03-11 15:05:25.882692|INFO    |VirtualServerBase|1  |server was edited by 'Testclient 1'(id:2)
2016-03-11 15:05:53.805903|INFO    |VirtualServerBase|1  |server was edited by 'Testclient 1'(id:2)
2016-03-11 15:06:13.744356|INFO    |VirtualServerBase|1  |client disconnected 'Testclient 1'(id:2) reason 'reasonmsg'
2016-03-11 15:06:14.422785|INFO    |VirtualServerBase|1  |client connected 'Testclient 1'(id:2) from 127.0.0.1:63783
2016-03-11 15:06:32.333138|INFO    |VirtualServerBase|1  |client disconnected 'Testclient 1'(id:2) reason 'reasonmsg'
2016-03-11 15:06:33.011781|INFO    |VirtualServerBase|1  |client connected 'Testclient 2'(id:4) from 127.0.0.1:63783
2016-03-11 15:06:39.293963|INFO    |VirtualServerBase|1  |client connected 'Testclient 1'(id:2) from 127.0.0.1:55374
2016-03-11 15:06:44.160500|INFO    |VirtualServerBase|1  |client connected 'Testclient 3'(id:5) from 127.0.0.1:55376
2016-03-11 15:06:47.595061|INFO    |VirtualServerBase|1  |client connected 'Testclient 4'(id:6) from 127.0.0.1:55378
2016-03-11 15:06:51.251575|INFO    |VirtualServerBase|1  |client connected 'Testclient 5'(id:7) from 127.0.0.1:55380
2016-03-11 15:07:23.996143|INFO    |VirtualServerBase|1  |channel 'New Channel'(id:2) created by 'Testclient 1'(id:2)
2016-03-11 15:08:29.601584|INFO    |VirtualServer |1  |permission 'i_ft_needed_file_upload_power'(id:234) with values (value:-1) was added by 'Testclient 1'(id:2) to channel 'New Channel'(id:2)
2016-03-11 15:08:29.605589|INFO    |VirtualServer |1  |permission 'i_ft_needed_file_download_power'(id:236) with values (value:-1) was added by 'Testclient 1'(id:2) to channel 'New Channel'(id:2)
2016-03-11 15:08:36.708095|INFO    |VirtualServer |1  |client (id:4) was added to servergroup 'Server Admin'(id:6) by client 'Testclient 1'(id:2)
2016-03-11 15:09:11.394574|INFO    |VirtualServerBase|1  |client disconnected 'Former Testclient 1'(id:2) reason 'reasonmsg'
2016-03-11 15:09:12.139207|INFO    |VirtualServerBase|1  |client connected 'Testclient 1'(id:2) from 127.0.0.1:55374
2016-03-11 15:09:22.132896|INFO    |VirtualServerBase|1  |file upload to (id:2), '/upload1.txt' by client 'Testclient 1'(id:2)
2016-03-11 15:09:22.134383|INFO    |VirtualServerBase|1  |file upload to (id:2), '/upload2.txt' by client 'Testclient 1'(id:2)
2016-03-11 15:09:31.493796|INFO    |VirtualServerBase|1  |file download from (id:2), '/upload1.txt' by client 'Testclient 1'(id:2)
2016-03-11 15:09:38.739780|INFO    |VirtualServerBase|1  |file download from (id:2), '/upload1.txt' by client 'Testclient 4'(id:6)
2016-03-11 15:09:40.502170|INFO    |VirtualServerBase|1  |file download from (id:2), '/upload2.txt' by client 'Testclient 4'(id:6)
2016-03-11 15:09:53.205748|INFO    |VirtualServerBase|1  |client disconnected 'Testclient 3'(id:5) reason 'reasonmsg'
2016-03-11 15:09:53.878951|INFO    |VirtualServerBase|1  |client connected 'Testclient 3'(id:5) from 127.0.0.1:55376
2016-03-11 15:10:27.160593|INFO    |VirtualServerBase|1  |channel 'New Subchannel'(id:3) created by 'Testclient 2'(id:4)
2016-03-11 15:10:27.171646|INFO    |VirtualServer |1  |permission 'i_ft_needed_file_upload_power'(id:234) with values (value:-1) was added by 'Testclient 2'(id:4) to channel 'New Subchannel'(id:3)
2016-03-11 15:10:27.175648|INFO    |VirtualServer |1  |permission 'i_ft_needed_file_download_power'(id:236) with values (value:-1) was added by 'Testclient 2'(id:4) to channel 'New Subchannel'(id:3)
2016-03-11 15:10:27.179648|INFO    |VirtualServer |1  |permission 'i_ft_needed_file_browse_power'(id:242) with values (value:-1) was added by 'Testclient 2'(id:4) to channel 'New Subchannel'(id:3)
2016-03-11 15:10:54.469937|INFO    |VirtualServerBase|1  |channel 'New Subchannel'(id:4) created as sub channel of 'New Channel'(id:2) by 'Testclient 2'(id:4)
2016-03-11 15:10:54.480434|INFO    |VirtualServer |1  |permission 'i_ft_needed_file_upload_power'(id:234) with values (value:-1) was added by 'Testclient 2'(id:4) to channel 'New Subchannel'(id:4)
2016-03-11 15:10:54.484435|INFO    |VirtualServer |1  |permission 'i_ft_needed_file_download_power'(id:236) with values (value:-1) was added by 'Testclient 2'(id:4) to channel 'New Subchannel'(id:4)
2016-03-11 15:10:54.487935|INFO    |VirtualServer |1  |permission 'i_ft_needed_file_browse_power'(id:242) with values (value:-1) was added by 'Testclient 2'(id:4) to channel 'New Subchannel'(id:4)
2016-03-11 15:11:07.808775|INFO    |VirtualServerBase|1  |channel 'Private Channel'(id:3) edited by 'Testclient 2'(id:4)
2016-03-11 15:11:15.666708|INFO    |VirtualServerBase|1  |client disconnected 'Testclient 5'(id:7) reason 'reasonmsg'
2016-03-11 15:11:16.340803|INFO    |VirtualServerBase|1  |client connected 'Testclient 5'(id:7) from 127.0.0.1:55380
2016-03-11 15:11:31.385862|INFO    |VirtualServerBase|1  |client disconnected 'Testclient 5'(id:7) reason 'reasonmsg'
2016-03-11 15:11:32.054076|INFO    |VirtualServerBase|1  |client connected 'You don't know me!'(id:7) from 127.0.0.1:55380
2016-03-11 15:12:15.772729|INFO    |VirtualServer |1  |servergroup 'UploaderGroup'(id:9) was added by 'Testclient 1'(id:2)
2016-03-11 15:12:22.973794|INFO    |VirtualServer |1  |permission 'b_ft_ignore_password'(id:231) with values (value:1, negated:0, skipchannel:0) was added by 'Testclient 1'(id:2) to servergroup 'UploaderGroup'(id:9)
2016-03-11 15:12:22.977294|INFO    |VirtualServer |1  |permission 'b_ft_transfer_list'(id:232) with values (value:1, negated:0, skipchannel:0) was added by 'Testclient 1'(id:2) to servergroup 'UploaderGroup'(id:9)
2016-03-11 15:12:22.980296|INFO    |VirtualServer |1  |permission 'i_ft_file_upload_power'(id:233) with values (value:75, negated:0, skipchannel:0) was added by 'Testclient 1'(id:2) to servergroup 'UploaderGroup'(id:9)
2016-03-11 15:12:22.983795|INFO    |VirtualServer |1  |permission 'i_ft_needed_file_upload_power'(id:234) with values (value:75, negated:0, skipchannel:0) was added by 'Testclient 1'(id:2) to servergroup 'UploaderGroup'(id:9)
2016-03-11 15:12:22.986796|INFO    |VirtualServer |1  |permission 'i_ft_file_download_power'(id:235) with values (value:75, negated:0, skipchannel:0) was added by 'Testclient 1'(id:2) to servergroup 'UploaderGroup'(id:9)
2016-03-11 15:12:22.989297|INFO    |VirtualServer |1  |permission 'i_ft_needed_file_download_power'(id:236) with values (value:75, negated:0, skipchannel:0) was added by 'Testclient 1'(id:2) to servergroup 'UploaderGroup'(id:9)
2016-03-11 15:12:22.991298|INFO    |VirtualServer |1  |permission 'i_ft_file_delete_power'(id:237) with values (value:75, negated:0, skipchannel:0) was added by 'Testclient 1'(id:2) to servergroup 'UploaderGroup'(id:9)
2016-03-11 15:12:22.995292|INFO    |VirtualServer |1  |permission 'i_ft_needed_file_delete_power'(id:238) with values (value:75, negated:0, skipchannel:0) was added by 'Testclient 1'(id:2) to servergroup 'UploaderGroup'(id:9)
2016-03-11 15:12:22.998293|INFO    |VirtualServer |1  |permission 'i_ft_file_rename_power'(id:239) with values (value:75, negated:0, skipchannel:0) was added by 'Testclient 1'(id:2) to servergroup 'UploaderGroup'(id:9)
2016-03-11 15:12:23.001293|INFO    |VirtualServer |1  |permission 'i_ft_needed_file_rename_power'(id:240) with values (value:75, negated:0, skipchannel:0) was added by 'Testclient 1'(id:2) to servergroup 'UploaderGroup'(id:9)
